N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;3 098,21
2;Златоустовский;162 659,35
3;Карабашский;9 417,54
4;Копейский;12 085,78
5;Кыштымский;54 613,15
6;Локомотивный;1247,03068
7;Магнитогорский;290 857,03
8;Миасский;110 154,23
9;Озерский;102 194,15
10;Снежинский;25 256,64
11;Трехгорный;28 990,49
12;Троицкий;-12 388,28
13;Усть-Катавский;29 263,83
14;Чебаркульский;3984,7225
15;Челябинский;671 228,20
16;Южноуральский;1 698,35
17;Агаповский;42 699,37
18;Аргаяшский;-6 631,03
19;Ашинский;1 394,14
20;Брединский;3 653,49
21;Варненский;35 707,92
22;Верхнеуральский;9 459,36
23;Еманжелинский;41 593,89
24;Еткульский;16 427,01
25;Карталинский;29 835,12
26;Каслинский;43 955,19
27;Катав-Ивановский;11 020,57
28;Кизильский;-10 511,95
29;Коркинский;56 934,15
30;Красноармейский;6 761,42
31;Кунашакский;45491,64501
32;Кусинский;4 223,90
33;Нагайбакский ;-2 035,71
34;Нязепетровский;24082,09729
35;Октябрьский;-418,10
36;Пластовский;-30 561,03
37;Саткинский;-79 462,97
38;Сосновский;-88 035,74
39;Троицкий;-11 582,25
40;Увельский;-1 064,87
41;Уйский;27 518,49
42;Чебаркульский ;-11 858,24
43;Чесменский;2421,66068
