N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;-15 502,33
2;Златоустовский;-21 798,29
3;Карабашский;-701,82
4;Копейский;5 674,60
5;Кыштымский;-33 705,20
6;Локомотивный;-4325,07641
7;Магнитогорский;342 639,22
8;Миасский;14 842,70
9;Озерский;13 548,01
10;Снежинский;21 096,70
11;Трехгорный;-9 018,77
12;Троицкий;-66 234,61
13;Усть-Катавский;1 564,47
14;Чебаркульский;-6370,52346
15;Челябинский;-492 446,44
16;Южноуральский;7 005,59
17;Агаповский;-5 605,34
18;Аргаяшский;-54 383,70
19;Ашинский;-5 175,35
20;Брединский;-25 130,16
21;Варненский;-10 318,84
22;Верхнеуральский;-31 545,36
23;Еманжелинский;1 604,03
24;Еткульский;-3 791,40
25;Карталинский;-11 298,56
26;Каслинский;-22 272,82
27;Катав-Ивановский;-12 463,56
28;Кизильский;-46 403,90
29;Коркинский;12 213,67
30;Красноармейский;-47,93
31;Кунашакский;5986,73035
32;Кусинский;-15 927,08
33;Нагайбакский ;-33 812,66
34;Нязепетровский;-19488,53622
35;Октябрьский;-18 845,02
36;Пластовский;6 278,81
37;Саткинский;13 315,31
38;Сосновский;3 498,72
39;Троицкий;-30 925,21
40;Увельский;-42 688,44
41;Уйский;-34 088,69
42;Чебаркульский ;-3 123,09
43;Чесменский;-17078,7566
