N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;-2 210,50
2;Златоустовский;-56 373,14
3;Карабашский;2 170,79
4;Копейский;-20 940,36
5;Кыштымский;-57 705,98
6;Локомотивный;-3974,45969
7;Магнитогорский;242 814,39
8;Миасский;12 349,06
9;Озерский;26 927,52
10;Снежинский;-24 905,44
11;Трехгорный;-50 668,76
12;Троицкий;-173 058,85
13;Усть-Катавский;12 287,58
14;Чебаркульский;-31742,45531
15;Челябинский;-827 073,59
16;Южноуральский;-16 680,33
17;Агаповский;6 258,85
18;Аргаяшский;-72 537,97
19;Ашинский;-28 981,88
20;Брединский;-34 409,07
21;Варненский;11 565,42
22;Верхнеуральский;-64 370,40
23;Еманжелинский;-27 120,83
24;Еткульский;-10 042,82
25;Карталинский;-38 755,09
26;Каслинский;-18 074,39
27;Катав-Ивановский;-27 422,87
28;Кизильский;-44 796,95
29;Коркинский;10 139,21
30;Красноармейский;-12 044,42
31;Кунашакский;9105,78218
32;Кусинский;-42 003,72
33;Нагайбакский ;-23 616,46
34;Нязепетровский;355,73402
35;Октябрьский;-9 752,93
36;Пластовский;-2 937,74
37;Саткинский;-48 927,23
38;Сосновский;16 342,41
39;Троицкий;-20 974,38
40;Увельский;-44 969,54
41;Уйский;-30 334,38
42;Чебаркульский ;8 269,62
43;Чесменский;-16639,85243
