N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;-34 314,4
2;Златоустовский;-158 530,7
3;Карабашский;-29 237,3
4;Копейский;-124 407,0
5;Кыштымский;-19 016,3
6;Локомотивный;49 323,2
7;Магнитогорский;-643 425,5
8;Миасский;-9 053,8
9;Озерский;-17 070,2
10;Снежинский;8 469,3
11;Трехгорный;22 217,2
12;Троицкий;-47 358,5
13;Усть-Катавский;826,8
14;Чебаркульский;-51 318,8
15;Челябинский;-839 871,0
16;Южноуральский;-5 150,7
17;Агаповский;3 377,4
18;Аргаяшский;-10 904,7
19;Ашинский;-48 663,2
20;Брединский;36 253,9
21;Варненский;30 110,3
22;Верхнеуральский;-39 846,7
23;Еманжелинский;-52 305,0
24;Еткульский;21 027,0
25;Карталинский;4 795,4
26;Каслинский;-17 591,1
27;Катав-Ивановский;11 323,8
28;Кизильский;-11 028,6
29;Коркинский;-3 353,6
30;Красноармейский;-33 860,3
31;Кунашакский;-7 671,5
32;Кусинский;4 266,3
33;Нагайбакский ;-71 610,7
34;Нязепетровский;-4 389,2
35;Октябрьский;9 875,3
36;Пластовский;28 105,4
37;Саткинский;38 921,3
38;Сосновский;-12 850,8
39;Троицкий;18 268,6
40;Увельский;-54 801,1
41;Уйский;12 249,0
42;Чебаркульский ;15 728,3
43;Чесменский;-22 921,9
