N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;-35 930,12
2;Златоустовский;-52 208,39
3;Карабашский;10 102,19
4;Копейский;30 233,62
5;Кыштымский;-23 831,00
6;Локомотивный;-5266,88678
7;Магнитогорский;-208 495,66
8;Миасский;93 634,95
9;Озерский;-38 343,28
10;Снежинский;52 668,59
11;Трехгорный;-4 526,05
12;Троицкий;-79 594,65
13;Усть-Катавский;-23 397,45
14;Чебаркульский;-14 098,31
15;Челябинский;-34 750,62
16;Южноуральский;-610,06
17;Агаповский;-11 117,29
18;Аргаяшский;-88 956,07
19;Ашинский;-63 351,60
20;Брединский;-17 514,33
21;Варненский;3 224,64
22;Верхнеуральский;-60 008,82
23;Еманжелинский;-36 854,44
24;Еткульский;-60 670,87
25;Карталинский;-8 667,33
26;Каслинский;-18 966,47
27;Катав-Ивановский;-19 383,35
28;Кизильский;-24 958,50
29;Коркинский;27 255,11
30;Красноармейский;-30 661,68
31;Кунашакский;-10 247,53
32;Кусинский;-28 209,16
33;Нагайбакский ;-49 330,10
34;Нязепетровский;-3785,90127
35;Октябрьский;-21 680,76
36;Пластовский;-9 272,39
37;Саткинский;-2 656,96
38;Сосновский;-24 083,77
39;Троицкий;-38 671,44
40;Увельский;-18 117,14
41;Уйский;-47 304,08
42;Чебаркульский ;-29 951,34
43;Чесменский;-5143,10535
