N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;-28 650,97
2;Златоустовский;74 052,53
3;Карабашский;298,35
4;Копейский;38 159,86
5;Кыштымский;12 888,85
6;Локомотивный;-1435,81956
7;Магнитогорский;-244 443,21
8;Миасский;13 850,56
9;Озерский;5 534,75
10;Снежинский;70 103,31
11;Трехгорный;-3 968,49
12;Троицкий;37 529,95
13;Усть-Катавский;-18 389,58
14;Чебаркульский;-17 008,51
15;Челябинский;-250 604,13
16;Южноуральский;5 006,29
17;Агаповский;-18 663,33
18;Аргаяшский;-70 857,62
19;Ашинский;-24 757,43
20;Брединский;-25 569,88
21;Варненский;-2 391,59
22;Верхнеуральский;-39 337,85
23;Еманжелинский;-10 952,87
24;Еткульский;-15 587,13
25;Карталинский;-14 395,00
26;Каслинский;-19 642,29
27;Катав-Ивановский;-3 796,68
28;Кизильский;-29 055,38
29;Коркинский;6 257,33
30;Красноармейский;-19 790,79
31;Кунашакский;-9 116,77
32;Кусинский;-21 594,40
33;Нагайбакский ;-36 948,60
34;Нязепетровский;-12415,96205
35;Октябрьский;-30 216,90
36;Пластовский;8 053,22
37;Саткинский;-53 171,44
38;Сосновский;25 671,41
39;Троицкий;-42 683,05
40;Увельский;-19 885,43
41;Уйский;-48 754,47
42;Чебаркульский ;-23 973,39
43;Чесменский;-25141,87715
