N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;-27 528,47
2;Златоустовский;152 358,35
3;Карабашский;88 623,16
4;Копейский;182 075,87
5;Кыштымский;1 362,63
6;Локомотивный;-3661,70754
7;Магнитогорский;185 245,97
8;Миасский;37 391,99
9;Озерский;-11 181,18
10;Снежинский;13 271,38
11;Трехгорный;46 084,94
12;Троицкий;2 531,57
13;Усть-Катавский;-24 404,40
14;Чебаркульский;22040,49643
15;Челябинский;-56 548,27
16;Южноуральский;38 102,93
17;Агаповский;5 041,09
18;Аргаяшский;30 962,86
19;Ашинский;14 406,67
20;Брединский;9 168,20
21;Варненский;8 972,90
22;Верхнеуральский;9 159,18
23;Еманжелинский;11 552,16
24;Еткульский;60 913,70
25;Карталинский;48 273,21
26;Каслинский;-18 850,95
27;Катав-Ивановский;-13 618,03
28;Кизильский;23 009,86
29;Коркинский;7 657,28
30;Красноармейский;24 460,73
31;Кунашакский;4429,24659
32;Кусинский;4 336,50
33;Нагайбакский ;15 693,41
34;Нязепетровский;-5644,23451
35;Октябрьский;4 692,45
36;Пластовский;224 377,89
37;Саткинский;-48 542,55
38;Сосновский;113 072,05
39;Троицкий;-1 253,56
40;Увельский;-12,82
41;Уйский;12 767,60
42;Чебаркульский ;1 299,03
43;Чесменский;4155,87879
