N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;-19 748,0
2;Златоустовский;-128 761,0
3;Карабашский;-34 655,1
4;Копейский;-84 933,8
5;Кыштымский;63 817,8
6;Локомотивный;32 332,4
7;Магнитогорский;-575 289,9
8;Миасский;48 993,4
9;Озерский;3 491,8
10;Снежинский;40 295,5
11;Трехгорный;41 998,9
12;Троицкий;-50 861,1
13;Усть-Катавский;18 168,3
14;Чебаркульский;-12 386,6
15;Челябинский;-1 189 473,8
16;Южноуральский;-2 640,7
17;Агаповский;3 404,8
18;Аргаяшский;-13 298,4
19;Ашинский;-57 297,7
20;Брединский;38 764,6
21;Варненский;6 063,5
22;Верхнеуральский;20 250,2
23;Еманжелинский;-42 418,1
24;Еткульский;24 459,8
25;Карталинский;16 894,6
26;Каслинский;-26 278,2
27;Катав-Ивановский;15 332,1
28;Кизильский;-7 116,5
29;Коркинский;5 823,0
30;Красноармейский;29 615,0
31;Кунашакский;-25 961,5
32;Кусинский;5 455,9
33;Нагайбакский ;-56 667,9
34;Нязепетровский;20 057,5
35;Октябрьский;19 037,4
36;Пластовский;34 528,7
37;Саткинский;63 386,9
38;Сосновский;24 925,7
39;Троицкий;27 048,4
40;Увельский;-40 750,7
41;Уйский;35 807,0
42;Чебаркульский ;23 758,4
43;Чесменский;-10 671,6
