N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;-1 022,2
2;Златоустовский;-43 845,6
3;Карабашский;-31 506,0
4;Копейский;-52 325,9
5;Кыштымский;29 522,5
6;Локомотивный;7 569,7
7;Магнитогорский;-266 128,0
8;Миасский;65 694,8
9;Озерский;24 090,6
10;Снежинский;-37 898,7
11;Трехгорный;31 158,2
12;Троицкий;-54 589,3
13;Усть-Катавский;3 615,4
14;Чебаркульский;-34 199,9
15;Челябинский;-812 756,1
16;Южноуральский;18 854,8
17;Агаповский;28 184,6
18;Аргаяшский;2 578,4
19;Ашинский;2 617,9
20;Брединский;-20 373,6
21;Варненский;-29 232,3
22;Верхнеуральский;-64 276,7
23;Еманжелинский;27 508,3
24;Еткульский;4 770,8
25;Карталинский;-1 030,6
26;Каслинский;-35 751,4
27;Катав-Ивановский;4 526,2
28;Кизильский;-3 215,7
29;Коркинский;23 659,1
30;Красноармейский;35 008,1
31;Кунашакский;18 267,3
32;Кусинский;-2 641,4
33;Нагайбакский ;2 646,7
34;Нязепетровский;-4 735,9
35;Октябрьский;-184,2
36;Пластовский;109 749,3
37;Саткинский;38 421,8
38;Сосновский;65 058,5
39;Троицкий;-12 028,5
40;Увельский;6 770,3
41;Уйский;-28 098,0
42;Чебаркульский ;-1 552,9
43;Чесменский;2 577,3
