N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;-20 559,88
2;Златоустовский;-47 322,26
3;Карабашский;-12 982,95
4;Копейский;-32 472,26
5;Кыштымский;-4 931,22
6;Локомотивный;1263,26188
7;Магнитогорский;107 834,61
8;Миасский;-15 535,00
9;Озерский;-8 775,66
10;Снежинский;33 506,20
11;Трехгорный;3 478,93
12;Троицкий;-30 657,47
13;Усть-Катавский;8 717,01
14;Чебаркульский;579,06
15;Челябинский;-198 880,83
16;Южноуральский;26 789,06
17;Агаповский;-5 135,05
18;Аргаяшский;-49 552,96
19;Ашинский;-9 555,19
20;Брединский;-32 509,43
21;Варненский;6 273,33
22;Верхнеуральский;-27 249,03
23;Еманжелинский;2 730,14
24;Еткульский;-3 701,55
25;Карталинский;-14 571,21
26;Каслинский;-15 347,84
27;Катав-Ивановский;-24 674,02
28;Кизильский;-42 620,81
29;Коркинский;7 243,83
30;Красноармейский;-5 811,94
31;Кунашакский;-577,27
32;Кусинский;-12 577,25
33;Нагайбакский ;-48 303,66
34;Нязепетровский;-10986,00538
35;Октябрьский;-31 881,21
36;Пластовский;-12 538,28
37;Саткинский;4 678,69
38;Сосновский;-50 492,56
39;Троицкий;-39 425,86
40;Увельский;-53 078,97
41;Уйский;-27 405,96
42;Чебаркульский ;-4 824,21
43;Чесменский;-26166,89801
