N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;35 964,10
2;Златоустовский;99 911,76
3;Карабашский;16 971,71
4;Копейский;27 047,50
5;Кыштымский;-34 276,73
6;Локомотивный;3263,87651
7;Магнитогорский;-239 506,44
8;Миасский;43 159,60
9;Озерский;55 799,39
10;Снежинский;1 717,16
11;Трехгорный;-25 893,88
12;Троицкий;-96 224,07
13;Усть-Катавский;33 528,21
14;Чебаркульский;-18948,02229
15;Челябинский;-664 514,50
16;Южноуральский;16 789,75
17;Агаповский;20 299,21
18;Аргаяшский;-19 608,73
19;Ашинский;-21 139,28
20;Брединский;-10 091,74
21;Варненский;7 841,57
22;Верхнеуральский;-41 872,56
23;Еманжелинский;-32 250,95
24;Еткульский;-14 487,33
25;Карталинский;-798,19
26;Каслинский;17 175,84
27;Катав-Ивановский;12 807,80
28;Кизильский;-10 612,20
29;Коркинский;44 864,09
30;Красноармейский;-2 726,02
31;Кунашакский;23594,90578
32;Кусинский;-11 761,68
33;Нагайбакский ;1 841,67
34;Нязепетровский;5800,73505
35;Октябрьский;2 305,20
36;Пластовский;118 673,32
37;Саткинский;53 928,00
38;Сосновский;-32 310,48
39;Троицкий;6 938,07
40;Увельский;-20 964,66
41;Уйский;22 141,70
42;Чебаркульский ;-7 438,79
43;Чесменский;12367,23318
