N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;51 627,79
2;Златоустовский;68 729,47
3;Карабашский;35 878,59
4;Копейский;-27 373,22
5;Кыштымский;22 472,00
6;Локомотивный;10565,64234
7;Магнитогорский;-63 587,41
8;Миасский;68 875,20
9;Озерский;171 711,49
10;Снежинский;35 265,59
11;Трехгорный;-12 762,41
12;Троицкий;-95 436,20
13;Усть-Катавский;58 621,18
14;Чебаркульский;-24611,79561
15;Челябинский;-558 640,42
16;Южноуральский;7 184,62
17;Агаповский;46 462,10
18;Аргаяшский;-24 933,02
19;Ашинский;-21 066,50
20;Брединский;-13 165,93
21;Варненский;52 658,03
22;Верхнеуральский;16 244,74
23;Еманжелинский;-14 172,95
24;Еткульский;1 517,18
25;Карталинский;-18 579,86
26;Каслинский;18 009,39
27;Катав-Ивановский;38 786,73
28;Кизильский;-34 007,34
29;Коркинский;29 348,61
30;Красноармейский;43 605,19
31;Кунашакский;56097,62971
32;Кусинский;-33 148,37
33;Нагайбакский ;28 014,11
34;Нязепетровский;35270,4819
35;Октябрьский;39 988,94
36;Пластовский;134 174,12
37;Саткинский;-5 256,57
38;Сосновский;-46 376,36
39;Троицкий;21 890,96
40;Увельский;28 785,12
41;Уйский;73 601,27
42;Чебаркульский ;-10 670,29
43;Чесменский;31478,41423
