N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;-18 031,99
2;Златоустовский;-17 714,75
3;Карабашский;-3 345,09
4;Копейский;72 925,69
5;Кыштымский;2 265,03
6;Локомотивный;3190,06653
7;Магнитогорский;460 829,16
8;Миасский;58 676,94
9;Озерский;81,43
10;Снежинский;41 682,42
11;Трехгорный;31 281,19
12;Троицкий;-28 555,55
13;Усть-Катавский;-7 590,91
14;Чебаркульский;-6848,66379
15;Челябинский;716 309,34
16;Южноуральский;22 285,89
17;Агаповский;6 726,47
18;Аргаяшский;-21 466,81
19;Ашинский;23 356,49
20;Брединский;-16 490,27
21;Варненский;-4 346,48
22;Верхнеуральский;-6 883,33
23;Еманжелинский;24 823,56
24;Еткульский;2 281,42
25;Карталинский;1 884,68
26;Каслинский;-8 823,91
27;Катав-Ивановский;-15 765,02
28;Кизильский;-36 351,87
29;Коркинский;16 900,86
30;Красноармейский;3 428,34
31;Кунашакский;6263,49825
32;Кусинский;-2 361,79
33;Нагайбакский ;-34 037,17
34;Нязепетровский;-14065,15468
35;Октябрьский;-11 620,70
36;Пластовский;9 154,17
37;Саткинский;-2 647,41
38;Сосновский;4 747,14
39;Троицкий;-4 127,23
40;Увельский;11 151,66
41;Уйский;-66 951,35
42;Чебаркульский ;2 101,52
43;Чесменский;-11816,68234
