N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;-12 931,10
2;Златоустовский;-8 558,08
3;Карабашский;-9 966,37
4;Копейский;-34 883,88
5;Кыштымский;53 672,65
6;Локомотивный;292,47376
7;Магнитогорский;682 232,59
8;Миасский;10 872,78
9;Озерский;20 755,89
10;Снежинский;-14 173,60
11;Трехгорный;-19 200,45
12;Троицкий;115 314,49
13;Усть-Катавский;-8 163,14
14;Чебаркульский;9145,749
15;Челябинский;-110 671,62
16;Южноуральский;-5 179,06
17;Агаповский;574,71
18;Аргаяшский;28 688,73
19;Ашинский;-26 369,42
20;Брединский;6 546,64
21;Варненский;23 590,47
22;Верхнеуральский;38 689,82
23;Еманжелинский;29 078,56
24;Еткульский;2 389,43
25;Карталинский;8 884,66
26;Каслинский;15 466,53
27;Катав-Ивановский;18 969,18
28;Кизильский;534,27
29;Коркинский;-1 963,26
30;Красноармейский;-15 380,93
31;Кунашакский;283,29278
32;Кусинский;16 416,71
33;Нагайбакский ;391,62
34;Нязепетровский;6393,40719
35;Октябрьский;-7 508,95
36;Пластовский;-23 540,99
37;Саткинский;80 624,05
38;Сосновский;-56 706,15
39;Троицкий;-12 850,38
40;Увельский;-1 260,67
41;Уйский;17 961,21
42;Чебаркульский ;-955,76
43;Чесменский;-5583,95219
