N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;36 736,8
2;Златоустовский;-16 252,4
3;Карабашский;-29 326,6
4;Копейский;-56 240,7
5;Кыштымский;25 770,4
6;Локомотивный;7 212,9
7;Магнитогорский;357 873,4
8;Миасский;90 550,5
9;Озерский;-41 034,7
10;Снежинский;-139 948,1
11;Трехгорный;-20 435,7
12;Троицкий;-22 074,7
13;Усть-Катавский;11 624,3
14;Чебаркульский;-12 592,5
15;Челябинский;-237 563,9
16;Южноуральский;20 678,9
17;Агаповский;23 630,5
18;Аргаяшский;91 444,7
19;Ашинский;47 820,1
20;Брединский;8 608,8
21;Варненский;-41 587,1
22;Верхнеуральский;-21 629,4
23;Еманжелинский;21 325,3
24;Еткульский;37 338,5
25;Карталинский;17 092,5
26;Каслинский;-13 143,6
27;Катав-Ивановский;7 709,7
28;Кизильский;33 621,0
29;Коркинский;14 557,6
30;Красноармейский;25 214,1
31;Кунашакский;-2 736,0
32;Кусинский;12 806,9
33;Нагайбакский ;41 130,3
34;Нязепетровский;8 086,1
35;Октябрьский;17 727,9
36;Пластовский;29 018,7
37;Саткинский;91 130,5
38;Сосновский;23 920,5
39;Троицкий;19 099,7
40;Увельский;26 755,9
41;Уйский;19 784,6
42;Чебаркульский ;8 982,7
43;Чесменский;-4 739,1
