N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;-54 003,16
2;Златоустовский;-4 469,19
3;Карабашский;249,36
4;Копейский;106 358,42
5;Кыштымский;-21 723,14
6;Локомотивный;-1741,37057
7;Магнитогорский;63 502,97
8;Миасский;-28 152,56
9;Озерский;-822,13
10;Снежинский;16 767,45
11;Трехгорный;35 439,97
12;Троицкий;-55 281,09
13;Усть-Катавский;-24 615,32
14;Чебаркульский;-13013,80713
15;Челябинский;-334 437,85
16;Южноуральский;9 688,97
17;Агаповский;-7 158,00
18;Аргаяшский;-13 756,74
19;Ашинский;20 193,75
20;Брединский;-28 425,42
21;Варненский;4 791,26
22;Верхнеуральский;-7 566,79
23;Еманжелинский;13 611,68
24;Еткульский;15 485,38
25;Карталинский;-166,31
26;Каслинский;-10 411,33
27;Катав-Ивановский;-35 676,35
28;Кизильский;-24 960,83
29;Коркинский;22 699,76
30;Красноармейский;15 290,11
31;Кунашакский;11041,33869
32;Кусинский;-13 262,89
33;Нагайбакский ;-38 911,06
34;Нязепетровский;-6449,42391
35;Октябрьский;-13 727,77
36;Пластовский;-4 316,55
37;Саткинский;-106 498,34
38;Сосновский;26 370,08
39;Троицкий;1 211,69
40;Увельский;18 387,00
41;Уйский;-25 671,52
42;Чебаркульский ;-12 506,00
43;Чесменский;-11660,1482
