N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;-18 171,43
2;Златоустовский;115 106,60
3;Карабашский;12 176,47
4;Копейский;163 000,53
5;Кыштымский;-14 740,35
6;Локомотивный;-552,80
7;Магнитогорский;194 295,53
8;Миасский;62 222,36
9;Озерский;10 981,77
10;Снежинский;34 606,42
11;Трехгорный;54 070,65
12;Троицкий;-27 585,41
13;Усть-Катавский;-11 269,60
14;Чебаркульский;-14 727,38
15;Челябинский;53 777,70
16;Южноуральский;15 715,67
17;Агаповский;8 412,88
18;Аргаяшский;23 897,23
19;Ашинский;18 922,67
20;Брединский;-13 302,46
21;Варненский;22 855,91
22;Верхнеуральский;14 637,21
23;Еманжелинский;40 305,72
24;Еткульский;40 138,27
25;Карталинский;36 797,23
26;Каслинский;-6 842,98
27;Катав-Ивановский;-5 898,12
28;Кизильский;-20 384,66
29;Коркинский;61 694,43
30;Красноармейский;22 118,72
31;Кунашакский;29 942,65
32;Кусинский;-882,54
33;Нагайбакский ;24 987,15
34;Нязепетровский;1 960,46
35;Октябрьский;3 421,52
36;Пластовский;31 603,90
37;Саткинский;-202 182,43
38;Сосновский;88 267,07
39;Троицкий;-14 910,33
40;Увельский;38 485,38
41;Уйский;-2 987,19
42;Чебаркульский ;6 573,90
43;Чесменский;-7 080,15
