N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;-29 154,89
2;Златоустовский;-57 399,39
3;Карабашский;-13 241,53
4;Копейский;-73 592,63
5;Кыштымский;-4 653,21
6;Локомотивный;-443,11812
7;Магнитогорский;90 890,85
8;Миасский;-5 567,72
9;Озерский;-42 204,15
10;Снежинский;15 868,97
11;Трехгорный;-1 343,06
12;Троицкий;-50 115,57
13;Усть-Катавский;729,76
14;Чебаркульский;-17 887,65
15;Челябинский;-154 233,11
16;Южноуральский;1 923,29
17;Агаповский;-3 973,10
18;Аргаяшский;-49 069,05
19;Ашинский;-40 370,34
20;Брединский;-36 134,57
21;Варненский;-3 300,12
22;Верхнеуральский;-35 761,93
23;Еманжелинский;-1 027,96
24;Еткульский;5 231,61
25;Карталинский;-33 058,50
26;Каслинский;-11 149,38
27;Катав-Ивановский;-22 190,62
28;Кизильский;-46 539,84
29;Коркинский;8 246,30
30;Красноармейский;-27 229,92
31;Кунашакский;-1 667,98
32;Кусинский;-20 532,95
33;Нагайбакский ;-42 994,81
34;Нязепетровский;-2588,74117
35;Октябрьский;-39 463,76
36;Пластовский;-33 686,21
37;Саткинский;-63 232,60
38;Сосновский;-42 940,20
39;Троицкий;-39 821,93
40;Увельский;-18 292,67
41;Уйский;-6 543,85
42;Чебаркульский ;-17 013,80
43;Чесменский;-31337,48087
