N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;-37 967,47
2;Златоустовский;-41 032,43
3;Карабашский;4 500,26
4;Копейский;73 151,82
5;Кыштымский;-35 021,72
6;Локомотивный;-3874,53349
7;Магнитогорский;-94 982,23
8;Миасский;95 699,82
9;Озерский;-39 006,40
10;Снежинский;46 770,01
11;Трехгорный;-2 071,98
12;Троицкий;-24 821,72
13;Усть-Катавский;-8 178,93
14;Чебаркульский;-7 103,24
15;Челябинский;-17 066,27
16;Южноуральский;5 294,11
17;Агаповский;-18 436,54
18;Аргаяшский;-84 448,25
19;Ашинский;-53 149,38
20;Брединский;-28 370,23
21;Варненский;-963,75
22;Верхнеуральский;-69 759,48
23;Еманжелинский;-18 713,90
24;Еткульский;-55 828,49
25;Карталинский;-12 639,44
26;Каслинский;-24 324,69
27;Катав-Ивановский;-28 560,40
28;Кизильский;-19 750,46
29;Коркинский;32 924,30
30;Красноармейский;-28 865,82
31;Кунашакский;-11 371,64
32;Кусинский;-20 796,79
33;Нагайбакский ;-21 952,22
34;Нязепетровский;-6385,07852
35;Октябрьский;-29 462,18
36;Пластовский;17 141,50
37;Саткинский;-15 400,40
38;Сосновский;15 810,96
39;Троицкий;-39 930,21
40;Увельский;-31 649,68
41;Уйский;-55 579,23
42;Чебаркульский ;-24 677,47
43;Чесменский;-22679,9874
