N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;-13 828,2
2;Златоустовский;-9 074,2
3;Карабашский;-14 750,9
4;Копейский;-7 014,9
5;Кыштымский;28 395,2
6;Локомотивный;8 306,3
7;Магнитогорский;-243 385,7
8;Миасский;118 195,6
9;Озерский;39 679,2
10;Снежинский;-38 670,4
11;Трехгорный;9 964,2
12;Троицкий;-39 975,9
13;Усть-Катавский;18 894,3
14;Чебаркульский;-24 413,5
15;Челябинский;-631 714,0
16;Южноуральский;21 420,1
17;Агаповский;38 734,3
18;Аргаяшский;39 676,4
19;Ашинский;39 859,1
20;Брединский;-2 199,9
21;Варненский;-16 233,6
22;Верхнеуральский;-46 465,1
23;Еманжелинский;16 175,0
24;Еткульский;11 812,5
25;Карталинский;27 727,2
26;Каслинский;-21 178,3
27;Катав-Ивановский;-4 641,7
28;Кизильский;15 500,4
29;Коркинский;29 008,2
30;Красноармейский;35 182,0
31;Кунашакский;57,6
32;Кусинский;-5 670,5
33;Нагайбакский ;29 172,6
34;Нязепетровский;8 360,4
35;Октябрьский;16 444,3
36;Пластовский;118 709,2
37;Саткинский;81 380,4
38;Сосновский;59 368,6
39;Троицкий;-4 238,3
40;Увельский;16 606,6
41;Уйский;-13 659,6
42;Чебаркульский ;8 129,1
43;Чесменский;-8 698,2
