N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;8 155,76
2;Златоустовский;-76 350,41
3;Карабашский;4 926,60
4;Копейский;-19 650,16
5;Кыштымский;3 471,49
6;Локомотивный;1637,82316
7;Магнитогорский;746 103,91
8;Миасский;61 441,44
9;Озерский;46954,10029
10;Снежинский;79 520,04
11;Трехгорный;20 699,87
12;Троицкий;-13 163,62
13;Усть-Катавский;-1 028,56
14;Чебаркульский;-10168,18158
15;Челябинский;-86 047,98
16;Южноуральский;50,77
17;Агаповский;302,91
18;Аргаяшский;-39 173,48
19;Ашинский;32 431,55
20;Брединский;-18 623,14
21;Варненский;-4 306,12
22;Верхнеуральский;-16 703,78
23;Еманжелинский;-2 770,89
24;Еткульский;-18 898,61
25;Карталинский;-34 384,29
26;Каслинский;-14 105,74
27;Катав-Ивановский;29 835,17
28;Кизильский;-53 999,12
29;Коркинский;16 702,59
30;Красноармейский;-15 464,85
31;Кунашакский;7968,33072
32;Кусинский;-7 703,75
33;Нагайбакский ;-48 899,88
34;Нязепетровский;-13673,4455
35;Октябрьский;-22 356,59
36;Пластовский;124 882,58
37;Саткинский;-5 610,02
38;Сосновский;56 100,26
39;Троицкий;-7 773,39
40;Увельский;-4 720,02
41;Уйский;-71 253,11
42;Чебаркульский ;-10 384,73
43;Чесменский;-19575,86688
