N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;35 514,1
2;Златоустовский;-11 929,8
3;Карабашский;-35 600,9
4;Копейский;-8 438,1
5;Кыштымский;3 723,2
6;Локомотивный;-8 287,0
7;Магнитогорский;799 541,6
8;Миасский;-28 861,5
9;Озерский;-137 526,9
10;Снежинский;-9 872,5
11;Трехгорный;26 596,9
12;Троицкий;53 086,8
13;Усть-Катавский;-57 664,0
14;Чебаркульский;72 023,2
15;Челябинский;-376 222,4
16;Южноуральский;-150 627,8
17;Агаповский;13 935,6
18;Аргаяшский;-13 197,1
19;Ашинский;96 746,0
20;Брединский;8 172,0
21;Варненский;-22 954,0
22;Верхнеуральский;13 408,2
23;Еманжелинский;-95 450,3
24;Еткульский;15 342,9
25;Карталинский;-65 192,0
26;Каслинский;32 822,1
27;Катав-Ивановский;-44 870,9
28;Кизильский;-22 058,2
29;Коркинский;19 734,0
30;Красноармейский;56 176,8
31;Кунашакский;25 930,6
32;Кусинский;-49 929,1
33;Нагайбакский ;41 604,8
34;Нязепетровский;2 791,1
35;Октябрьский;-10 796,5
36;Пластовский;-33 425,0
37;Саткинский;-47 365,6
38;Сосновский;12 006,4
39;Троицкий;8 323,4
40;Увельский;57 538,3
41;Уйский;12 688,4
42;Чебаркульский ;2 163,0
43;Чесменский;22 186,4
