N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;27 507,49
2;Златоустовский;-62 421,77
3;Карабашский;-37 752,93
4;Копейский;28 012,31
5;Кыштымский;72 247,33
6;Локомотивный;3 215,39
7;Магнитогорский;209 258,77
8;Миасский;34 587,78
9;Озерский;-116 869,45
10;Снежинский;54 417,99
11;Трехгорный;38 338,39
12;Троицкий;-1 455,59
13;Усть-Катавский;-383,18
14;Чебаркульский;-13 570,54
15;Челябинский;-245 613,65
16;Южноуральский;-149 454,54
17;Агаповский;46 528,28
18;Аргаяшский;19 342,19
19;Ашинский;70 432,33
20;Брединский;2 998,06
21;Варненский;-15 839,29
22;Верхнеуральский;-25 177,58
23;Еманжелинский;-92 337,19
24;Еткульский;25 960,74
25;Карталинский;-51 980,98
26;Каслинский;49 227,87
27;Катав-Ивановский;-32 333,41
28;Кизильский;-6 435,51
29;Коркинский;10 975,90
30;Красноармейский;13 967,90
31;Кунашакский;14 467,42
32;Кусинский;-52 564,42
33;Нагайбакский ;-8 024,76
34;Нязепетровский;6 287,37
35;Октябрьский;-1 021,37
36;Пластовский;-22 414,06
37;Саткинский;54 567,31
38;Сосновский;406 690,71
39;Троицкий;12 331,08
40;Увельский;35 162,68
41;Уйский;30 727,43
42;Чебаркульский ;10 436,51
43;Чесменский;13 155,59
