N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;101 626,3
2;Златоустовский;4 442,9
3;Карабашский;-3 203,7
4;Копейский;-72 256,6
5;Кыштымский;11 633,4
6;Локомотивный;5 670,1
7;Магнитогорский;-352 070,2
8;Миасский;10 260,1
9;Озерский;52 405,3
10;Снежинский;15 972,7
11;Трехгорный;30 181,9
12;Троицкий;-36 006,1
13;Усть-Катавский;5 661,8
14;Чебаркульский;-4 348,2
15;Челябинский;-529 847,4
16;Южноуральский;4 783,4
17;Агаповский;10 018,2
18;Аргаяшский;6 762,0
19;Ашинский;15 958,9
20;Брединский;-4 024,7
21;Варненский;-3 703,3
22;Верхнеуральский;-80 195,9
23;Еманжелинский;16 332,7
24;Еткульский;5 921,6
25;Карталинский;5 431,4
26;Каслинский;-42 577,4
27;Катав-Ивановский;-6 897,5
28;Кизильский;-2 079,0
29;Коркинский;5 934,1
30;Красноармейский;5 314,5
31;Кунашакский;-9 097,2
32;Кусинский;-7 310,8
33;Нагайбакский ;-9 124,6
34;Нязепетровский;-5 881,2
35;Октябрьский;-9 905,6
36;Пластовский;31 853,5
37;Саткинский;11 670,7
38;Сосновский;144 862,9
39;Троицкий;-12 919,6
40;Увельский;-9 638,3
41;Уйский;-478,3
42;Чебаркульский ;-18 020,5
43;Чесменский;-12 656,5
