N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;-20 007,92
2;Златоустовский;29 215,71
3;Карабашский;10 110,60
4;Копейский;38 654,04
5;Кыштымский;-5 799,51
6;Локомотивный;-3393,37376
7;Магнитогорский;-79 315,30
8;Миасский;99 488,68
9;Озерский;1 006,73
10;Снежинский;-26 256,46
11;Трехгорный;6 879,19
12;Троицкий;-22 057,68
13;Усть-Катавский;-18 145,01
14;Чебаркульский;-8 151,56
15;Челябинский;350 064,72
16;Южноуральский;5 870,85
17;Агаповский;-22 668,28
18;Аргаяшский;-53 436,36
19;Ашинский;-8 370,63
20;Брединский;887,53
21;Варненский;4 791,27
22;Верхнеуральский;-34 025,12
23;Еманжелинский;-21 549,39
24;Еткульский;-67 864,05
25;Карталинский;7 625,83
26;Каслинский;-19 679,45
27;Катав-Ивановский;-4 501,84
28;Кизильский;13 613,00
29;Коркинский;18 683,57
30;Красноармейский;-7 625,58
31;Кунашакский;-9 792,29
32;Кусинский;-17 714,83
33;Нагайбакский ;-8 101,35
34;Нязепетровский;-4708,6018
35;Октябрьский;-2 299,71
36;Пластовский;-23 252,64
37;Саткинский;108 206,00
38;Сосновский;60 555,01
39;Троицкий;-2 464,88
40;Увельский;17 599,95
41;Уйский;-29 417,71
42;Чебаркульский ;-23 162,20
43;Чесменский;8491,09321
